Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDT04,715.5464161226671,OUT013
FDL58,571.5068584210221,OUT019
FDE52,1481.4249874676786,OUT045
FDW12,2473.986954258937,OUT035
FDL51,3684.1862309870685,OUT017
NCY42,3041.0078431458683,OUT027
FDR07,1538.5541484358882,OUT017
FDN40,2498.686733012076,OUT045
FDB35,2637.590367722264,OUT027
FDA22,2569.758536269326,OUT017
NCL06,4069.710181365946,OUT046
FDI35,3022.319539624982,OUT013
NCW42,3766.0804650376294,OUT045
NCX06,2982.9213048423817,OUT049
FDC37,2899.1395366003685,OUT027
FDZ14,2010.4524505847776,OUT018
DRG49,3882.941073709189,OUT049
NCG06,4041.7193228394153,OUT045
DRC36,2848.793652425126,OUT045
FDV21,280.8137991553225,OUT019
FDB53,2480.8332094205225,OUT046
DRP47,571.102998035882,OUT019
FDA14,2478.682980510478,OUT013
DRC24,2498.686733012076,OUT035
FDW21,1570.8287897487985,OUT018
NCH29,1538.5541484358882,OUT046
FDU58,3057.382951292783,OUT013
FDY27,2877.120244605999,OUT017
FDV56,1595.426006164385,OUT035
FDT59,3805.213630232266,OUT046
FDB23,3775.6641303048464,OUT046
FDR49,736.19133664093,OUT045
FDB03,573.9023806936623,OUT010
FDN39,2569.758536269326,OUT045
FDX02,5864.176850714227,OUT027
FDQ16,2899.1395366003685,OUT027
FDU35,1548.264650195753,OUT018
NCT29,2010.4524505847776,OUT013
FDZ27,740.2890316511856,OUT046
FDN57,2033.6819907405902,OUT017
FDA03,2478.682980510478,OUT018
FDZ36,3057.382951292783,OUT045
NCU05,1498.6536153839434,OUT013
FDT39,2482.4448652118217,OUT018
FDK60,1538.5541484358882,OUT017
FDZ25,2700.660899669052,OUT017
FDG12,2010.4524505847776,OUT046
DRB01,498.7114541723661,OUT019
NCC43,5864.176850714227,OUT027
FDX13,569.5563868361651,OUT019
FDM22,879.557359642738,OUT049
FDJ03,993.1607660906915,OUT027
FDU14,3787.0049947113134,OUT018
FDB33,386.16768904894917,OUT010
FDP27,3057.382951292783,OUT046
FDO38,159.01192140117556,OUT010
FDE28,5864.176850714227,OUT027
FDO27,1538.5541484358882,OUT035
DRL23,2892.4388566779567,OUT027
FDS28,973.2525292939735,OUT046
FDX24,1548.8328784149144,OUT013
FDZ02,1538.5541484358882,OUT035
FDL46,1947.7485062816797,OUT045
FDS60,4813.335968558128,OUT027
NCO06,659.0477354797873,OUT017
FDO16,1420.2597164903386,OUT035
FDC60,1445.7738572627609,OUT049
FDA48,3523.5651984337687,OUT018
FDZ36,5177.780991883925,OUT027
FDK27,2005.32294730915,OUT045
FDW23,662.9226630629278,OUT018
FDM14,1677.8226598731533,OUT018
FDM14,1587.9574470752402,OUT013
FDW60,2871.6558557738645,OUT018
FDE21,1947.7485062816797,OUT013
NCM42,1595.426006164385,OUT035
FDY59,226.1915786344084,OUT010
DRI49,1359.6287754666098,OUT049
FDT28,363.56521770978173,OUT019
FDQ22,662.9226630629278,OUT018
FDR60,1299.7535404520295,OUT049
FDC50,231.45351448126036,OUT019
FDV24,2482.4448652118217,OUT013
DRF48,492.45254708488903,OUT010
FDQ47,669.293608710333,OUT046
DRN36,1538.5541484358882,OUT049
NCY06,2022.29323374156,OUT035
FDE52,1479.599657416722,OUT035
NCB54,2016.2063899935733,OUT045
NCF31,2494.6275198166763,OUT035
FDJ08,5224.613760395958,OUT027
NCC07,1583.1295901968545,OUT017
NCD19,1203.1682153976,OUT027
FDL46,1977.8635383919836,OUT049
FDM20,3925.2534715005213,OUT045
NCI06,447.2418101863431,OUT010
DRM11,4084.2128203881166,OUT035
NCH07,2548.873337994351,OUT018
FDS23,2024.961051719752,OUT013
FDO49,732.525949141058,OUT018
FDS35,1070.0039826125435,OUT049
DRK39,1381.2826072997902,OUT045
DRI39,937.2450391845441,OUT049
FDV04,2548.873337994351,OUT017
NCN14,3053.5811865157098,OUT035
FDH08,3793.11342715182,OUT013
FDS20,3057.382951292783,OUT046
FDV40,1138.8724032934153,OUT049
FDZ48,263.0776246479138,OUT010
FDS24,2524.348042228645,OUT027
FDK44,2847.033192921573,OUT049
FDS48,2480.8332094205225,OUT045
FDK26,494.113222028429,OUT010
FDD23,3057.382951292783,OUT045
NCH54,2561.0293254310477,OUT017
NCP14,243.3878615374305,OUT010
FDM60,131.7525156513408,OUT010
FDV24,2482.4448652118217,OUT017
FDH08,3594.8423700205963,OUT018
FDS12,3024.3511933790137,OUT027
FDR39,4887.990217443035,OUT027
FDP12,927.3679797590008,OUT027
DRF60,5864.176850714227,OUT027
FDC09,1578.1423978877033,OUT035
FDF50,3067.239216222287,OUT018
FDG28,3919.6605827132466,OUT035
NCE19,930.866153684674,OUT017
NCM53,254.03125920093242,OUT010
NCN18,1685.0013099275604,OUT049
FDF32,3129.3609410721983,OUT035
FDF11,3893.214171711824,OUT013
DRI59,3790.2643103956707,OUT049
NCG54,2700.660899669052,OUT035
FDM44,1571.0017164608732,OUT046
FDT57,3646.1293824928516,OUT018
FDV24,2482.4448652118217,OUT046
FDI50,571.2170617797051,OUT019
FDS09,756.9268211434556,OUT035
NCC31,4080.555514819856,OUT027
FDQ07,572.7636729794219,OUT019
FDC22,3057.382951292783,OUT017
FDZ56,2700.660899669052,OUT046
FDZ40,131.7525156513408,OUT019
FDS46,2970.9793861890093,OUT027
DRD24,2047.8155606385599,OUT045
FDV45,3055.6224917892305,OUT017
FDL26,2505.0117201777525,OUT045
FDA56,2013.442707182171,OUT018
FDN27,1947.7485062816797,OUT046
FDM20,3905.1210043816063,OUT049
FDO16,1381.2826072997902,OUT017
FDL03,3053.5811865157098,OUT035
FDE58,1947.7485062816797,OUT046
FDI02,2955.630810831848,OUT027
NCC55,131.7525156513408,OUT019
FDR03,3297.6635574814845,OUT018
FDB14,1524.2859409591308,OUT017
FDR45,3897.781705502844,OUT013
NCN07,2024.961051719752,OUT017
FDM51,247.5715204985524,OUT019
FDT52,5864.176850714227,OUT027
FDL26,2505.0117201777525,OUT046
NCZ42,3885.7547324138477,OUT046
DRI47,367.2691489519828,OUT019
FDW40,2050.3616076746025,OUT013
FDN34,2700.660899669052,OUT046
FDS01,2891.5399869715857,OUT035
NCG55,1947.7485062816797,OUT045
FDC11,1445.7738572627609,OUT035
FDX35,3569.742397817785,OUT018
NCB06,2555.7017287478816,OUT046
FDR09,572.2417057501223,OUT019
FDC53,1538.5541484358882,OUT017
FDY45,4012.2594011959177,OUT013
FDA22,386.7526038782554,OUT010
FDE02,1538.5541484358882,OUT035
FDW21,1568.4699929017236,OUT045
FDV34,1155.5008312856423,OUT046
FDS59,1595.426006164385,OUT049
NCW17,2022.29323374156,OUT017
NCK54,1947.7485062816797,OUT046
FDG17,571.2170617797051,OUT019
FDG35,2841.9575070769774,OUT017
FDD08,131.7525156513408,OUT010
NCO07,3683.931508723383,OUT017
FDJ10,279.63031534104886,OUT010
FDW36,1578.1423978877033,OUT017
FDW21,240.76704202911344,OUT010
FDY19,1947.7485062816797,OUT017
DRE03,785.7349824422538,OUT013
NCC55,671.1349806470887,OUT049
FDH52,136.64086026159075,OUT010
FDO09,4090.256912512087,OUT017
FDU43,3900.9366829064566,OUT045
FDX09,422.52693245237845,OUT010
FDH40,195.3062846806027,OUT019
FDW58,1578.1423978877033,OUT017
FDC47,3796.3719003844217,OUT017
NCR41,1536.1482558389255,OUT035
DRG49,3903.073540828103,OUT035
FDC52,4012.911494465412,OUT027
FDY13,1163.591760855489,OUT046
FDY35,726.0026343257906,OUT013
FDI35,3045.3364324126806,OUT017
NCU18,2053.007636644722,OUT049
FDY33,2550.622520811691,OUT018
FDC15,4172.086087518674,OUT027
FDU01,3050.546805944635,OUT049
NCU42,2700.660899669052,OUT046
NCV29,2874.69023634494,OUT018
NCY30,3053.5811865157098,OUT017
FDQ46,1706.8434566704632,OUT049
FDG58,4080.555514819856,OUT027
FDK33,3678.719198587553,OUT017
NCD07,1939.5790759714855,OUT045
NCX29,3982.7400883304854,OUT027
NCT42,2478.682980510478,OUT013
DRN59,736.19133664093,OUT035
FDI44,1306.680623251789,OUT035
FDA45,2873.3184798289253,OUT049
FDP31,1062.1415395748095,OUT045
FDY01,1939.5790759714855,OUT046
FDT09,2027.959782068436,OUT018
DRH03,2816.4765551000387,OUT027
FDA36,3051.9185624606494,OUT018
NCF31,2500.641895654847,OUT017
FDG14,2482.4448652118217,OUT049
FDG28,5864.176850714227,OUT027
FDU14,4009.061053841778,OUT049
FDY47,283.64534366802434,OUT019
FDI56,1481.4249874676786,OUT049
DRD01,1038.544488966745,OUT013
FDM22,973.2525292939735,OUT046
FDH33,716.3549933976633,OUT013
DRZ24,1961.6476178128023,OUT013
NCQ38,1578.1423978877033,OUT046
FDO16,2301.953649543664,OUT027
FDU07,4007.26594252728,OUT027
NCB07,3053.5811865157098,OUT013
FDU48,2027.959782068436,OUT045
NCM43,2565.9664478793343,OUT045
FDR31,365.265467739498,OUT010
DRK49,662.9226630629278,OUT018
NCI30,573.6125840523453,OUT010
DRD60,3022.319539624982,OUT017
NCG19,3825.3955897396586,OUT046
FDH12,1578.1423978877033,OUT035
FDM32,1521.6143503020953,OUT035
FDM27,2506.684793263474,OUT035
NCU53,4236.417082524392,OUT027
NCQ18,1543.1269453370085,OUT046
FDS10,2953.854303885184,OUT013
FDB33,4172.086087518674,OUT027
FDI12,1530.8696083909092,OUT013
NCW42,3741.9102747634543,OUT013
NCC06,2022.29323374156,OUT018
FDW02,2016.2063899935733,OUT017
NCD43,1578.1423978877033,OUT017
FDM57,1401.7327636566486,OUT018
FDA58,3870.619961551728,OUT017
FDK56,3057.382951292783,OUT046
FDP52,3809.728080625478,OUT045
FDW20,2013.442707182171,OUT018
FDS52,1565.820023746087,OUT049
NCT29,1999.8715007071185,OUT018
NCL54,2868.7720181848163,OUT013
FDC05,3069.6692244833457,OUT045
FDF34,3060.8388652042568,OUT035
FDP03,3019.490533242882,OUT027
FDD32,190.76895997814282,OUT010
FDZ10,2022.29323374156,OUT045
FDZ40,928.4793937661765,OUT035
FDD51,668.2235970878125,OUT018
NCY30,426.194294311834,OUT019
FDP58,3715.6610963111716,OUT017
FDV49,4086.308456267492,OUT017
FDY24,131.7525156513408,OUT019
NCO55,1587.9574470752402,OUT017
FDR13,1947.7485062816797,OUT017
FDS51,1027.6915465455763,OUT017
FDP26,1578.1423978877033,OUT045
NCB54,3024.3511933790137,OUT027
FDF32,3063.8732457753317,OUT017
FDN31,3054.9529430317243,OUT018
DRM48,659.0477354797873,OUT017
FDN20,2698.900440165499,OUT049
DRL01,3790.651512976732,OUT046
FDV56,1587.9574470752402,OUT049
DRH13,2899.1395366003685,OUT027
FDA03,2478.682980510478,OUT017
FDF47,5864.176850714227,OUT027
FDX32,2478.682980510478,OUT046
FDX57,1538.5541484358882,OUT049
NCA30,3053.5811865157098,OUT045
FDO49,788.225151926738,OUT013
FDL04,249.1216541992599,OUT019
DRM48,666.574890697872,OUT035
FDR16,3671.7031240352135,OUT013
NCC19,3054.9529430317243,OUT018
NCE42,3875.4443302051895,OUT045
FDY24,930.866153684674,OUT017
FDH19,2844.9918876480533,OUT049
FDJ46,2848.793652425126,OUT013
FDN45,572.2417057501223,OUT010
FDY08,2033.6819907405902,OUT035
FDZ37,1445.7738572627609,OUT035
NCT30,737.562120714347,OUT045
DRY23,663.7312403379241,OUT018
NCZ30,2010.4524505847776,OUT018
FDC44,1927.7983901128232,OUT018
FDB45,1578.1423978877033,OUT035
FDY04,2563.8605667554757,OUT013
FDM27,2550.622520811691,OUT046
FDZ43,3894.800409427078,OUT017
FDT39,368.6612030720478,OUT019
NCC06,281.54678768007835,OUT019
FDL15,4073.986349208102,OUT027
FDL57,4042.115087948338,OUT017
FDU08,1543.1269453370085,OUT046
FDK40,4106.05573511147,OUT017
FDQ12,571.1433697765036,OUT010
FDS48,2482.4448652118217,OUT017
FDP09,3684.569288833584,OUT045
FDW21,1543.1269453370085,OUT049
FDY25,3022.319539624982,OUT035
DRE13,1430.336290312093,OUT017
FDV43,131.7525156513408,OUT019
FDD22,1706.8434566704632,OUT045
FDM46,229.04392946739188,OUT019
NCO30,475.7178352890759,OUT010
FDM25,2848.793652425126,OUT046
NCN41,2013.442707182171,OUT049
FDU24,1528.384815264529,OUT045
FDZ50,3057.382951292783,OUT046
FDP45,3985.6230583214888,OUT013
NCM54,2016.2063899935733,OUT045
FDW10,418.388649694002,OUT019
FDP20,2022.29323374156,OUT017
FDK32,2482.4448652118217,OUT046
FDN52,1451.301351070877,OUT049
FDM58,1685.0013099275604,OUT045
FDZ46,2955.630810831848,OUT027
NCA18,1947.7485062816797,OUT018
FDD35,2010.4524505847776,OUT046
NCK31,740.0522901988311,OUT035
FDI40,2853.384288082767,OUT027
FDT50,233.76587889133035,OUT019
NCT06,2565.9664478793343,OUT046
FDT31,3050.546805944635,OUT035
FDT45,879.557359642738,OUT049
FDT13,3057.382951292783,OUT045
FDO50,1487.4519310404748,OUT045
NCU18,279.3132521912492,OUT010
NCR54,3057.382951292783,OUT049
NCO18,2874.69023634494,OUT018
FDU09,930.866153684674,OUT045
FDT13,3054.9529430317243,OUT018
FDE09,1706.8434566704632,OUT046
NCK53,247.5715204985524,OUT019
FDG45,3668.22061372613,OUT049
DRH15,687.3830096890291,OUT035
FDO21,571.2170617797051,OUT019
FDD14,5177.780991883925,OUT027
FDC09,1578.1423978877033,OUT046
FDH45,931.6212371070089,OUT027
FDV32,1125.3877345927338,OUT046
FDG12,1986.190089986703,OUT035
FDS32,2033.6819907405902,OUT013
NCL55,3809.5319318626816,OUT018
DRE01,3891.323011591453,OUT035
DRE15,1309.5755081439725,OUT049
NCL42,3902.726534349153,OUT045
FDP31,1233.2594356154466,OUT013
FDN33,1535.5291691225875,OUT018
FDZ59,2565.9664478793343,OUT046
FDE45,426.7427902594689,OUT010
FDJ07,1961.6476178128023,OUT013
FDQ45,3051.9185624606494,OUT018
FDM33,5864.176850714227,OUT027
FDO15,150.30748714569103,OUT010
FDM46,1548.8328784149144,OUT013
FDR03,3406.8029628527684,OUT045
FDY49,2633.3472654628,OUT018
FDQ60,1977.8635383919836,OUT045
FDW10,2844.9918876480533,OUT049
FDO51,685.7416065770104,OUT049
FDJ40,1595.426006164385,OUT018
FDS20,3053.020362987465,OUT018
FDU45,1784.6109555504693,OUT013
FDV02,2698.900440165499,OUT035
FDN09,3902.5376553970814,OUT046
NCM55,5177.780991883925,OUT027
FDN23,2473.986954258937,OUT018
FDY31,367.87976898853,OUT010
FDW03,243.73427188821313,OUT010
FDD14,3053.5811865157098,OUT046
FDV23,2016.2063899935733,OUT017
DRI03,2848.793652425126,OUT045
FDN13,1543.1269453370085,OUT035
FDF45,1296.4790154690706,OUT027
FDU46,1445.7738572627609,OUT035
FDB57,3750.837392544765,OUT049
FDV12,1543.1269453370085,OUT049
FDQ58,2482.4448652118217,OUT013
NCA18,1942.2889202938895,OUT017
FDH52,1024.5652430515497,OUT049
FDM24,2480.8332094205225,OUT018
NCP43,4895.340610654539,OUT027
NCO18,425.81357356582595,OUT019
FDM32,1502.8151764573443,OUT017
NCL07,661.6923155234741,OUT017
FDK03,3990.983084848431,OUT013
FDP59,1578.1423978877033,OUT017
FDQ24,3992.09343330519,OUT049
FDQ16,1595.426006164385,OUT018
FDU44,2555.7017287478816,OUT013
FDH28,131.7525156513408,OUT010
FDV28,131.7525156513408,OUT019
FDM22,922.6807571299532,OUT045
FDR56,3057.382951292783,OUT046
FDV39,3060.8388652042568,OUT049
FDU37,169.13980096020714,OUT019
FDQ11,572.3557694939454,OUT010
FDX02,3774.8064634915104,OUT045
NCS42,1531.4302948171892,OUT018
FDY57,2816.4765551000387,OUT027
FDB21,3881.858044571936,OUT049
FDE28,3818.5518310568386,OUT017
FDQ55,1927.7983901128232,OUT017
FDA48,3742.72982961054,OUT049
FDZ19,2848.793652425126,OUT045
NCC43,4014.303108245685,OUT045
NCV18,1401.5529412761869,OUT046
NCA42,2550.622520811691,OUT018
FDY45,4049.260891625023,OUT046
NCC30,2955.8956091587042,OUT045
FDM57,1528.1951002007625,OUT013
FDL09,389.19684735523236,OUT010
FDB09,3019.490533242882,OUT027
FDT44,1977.8635383919836,OUT035
NCT06,4230.412426383746,OUT027
FDX26,3055.6224917892305,OUT049
FDK32,2500.641895654847,OUT013
DRA12,2064.2687260313887,OUT046
FDO46,489.7220872496721,OUT010
FDE52,1534.3863493056522,OUT013
NCH42,3810.075087104428,OUT045
FDV08,670.0280480165551,OUT035
FDB47,3475.9264833770176,OUT018
FDC28,262.8262497502021,OUT010
FDD22,1927.7983901128232,OUT046
FDS07,2962.143250883777,OUT027
DRI13,3708.1118113969314,OUT045
FDG32,3537.641391016664,OUT018
FDU14,4024.080626518501,OUT017
FDD28,133.24934939850323,OUT019
NCP41,1595.426006164385,OUT017
FDS08,2848.793652425126,OUT049
FDX47,2537.943087965903,OUT045
FDC53,245.9833769498696,OUT019
FDQ19,3920.855846103697,OUT035
FDL14,2505.0117201777525,OUT045
FDM33,571.102998035882,OUT019
FDA51,1927.7983901128232,OUT045
FDZ27,732.525949141058,OUT018
FDT04,671.9381887540198,OUT046
DRC13,2016.2063899935733,OUT049
FDR16,5864.176850714227,OUT027
FDQ03,5864.176850714227,OUT027
FDE38,2666.0880623663315,OUT035
DRH23,1214.3149678224029,OUT027
FDT11,493.58409580169194,OUT019
FDD09,2977.2137326626125,OUT035
FDR40,1381.2826072997902,OUT045
FDX07,3053.5811865157098,OUT017
FDR07,1538.5541484358882,OUT035
FDA51,1927.7983901128232,OUT017
FDT59,570.813201394565,OUT019
FDF20,3057.382951292783,OUT017
FDR13,1937.500995352492,OUT045
FDY26,3672.371695261869,OUT049
FDW04,2024.961051719752,OUT017
FDK52,3810.662843966871,OUT017
FDN60,2537.943087965903,OUT049
FDM09,411.72858461552715,OUT019
FDP46,1453.9634743715164,OUT049
FDB50,167.45851692142003,OUT019
NCQ29,4051.752882700282,OUT049
FDP16,5864.176850714227,OUT027
FDX33,2561.0293254310477,OUT018
FDP07,507.5864975444876,OUT010
FDN22,4006.100589660707,OUT046
FDF39,4071.2888835907693,OUT049
FDS21,1011.5529357953477,OUT017
NCM42,1587.9574470752402,OUT013
FDK50,384.1128290143537,OUT019
DRF13,4001.7452857905173,OUT027
FDH35,2563.8605667554757,OUT018
FDP60,1548.264650195753,OUT018
DRJ49,3024.3511933790137,OUT027
NCT42,364.82490547500595,OUT019
FDE38,2660.628524853272,OUT049
FDI04,3069.6692244833457,OUT049
NCH54,2537.943087965903,OUT045
FDT56,956.6727663602856,OUT049
DRD15,3587.6338396990295,OUT018
FDV58,3053.5811865157098,OUT013
FDP21,3057.382951292783,OUT049
FDH05,3779.7472563808765,OUT013
FDR10,4222.460032397805,OUT027
NCP06,2480.8332094205225,OUT045
FDF33,1585.5804456821693,OUT049
DRK37,3057.382951292783,OUT013
DRH49,1383.8658303387058,OUT045
FDT58,2652.937197767926,OUT013
FDD41,1578.1423978877033,OUT018
FDP40,1685.0013099275604,OUT018
FDM51,2853.384288082767,OUT027
FDO45,195.97300551724592,OUT010
FDW33,243.3878615374305,OUT010
FDY24,928.4793937661765,OUT045
FDB10,569.8461834774821,OUT010
FDM40,2053.007636644722,OUT035
NCI06,3022.319539624982,OUT017
FDW12,334.23289559883546,OUT019
FDX48,4080.555514819856,OUT027
NCW05,2892.4388566779567,OUT027
FDX27,1538.5541484358882,OUT017
DRM37,3069.6692244833457,OUT045
FDA38,3904.6891823623964,OUT045
FDR36,671.9381887540198,OUT046
FDZ45,3106.415660817436,OUT046
FDG05,2548.873337994351,OUT017
FDK28,4056.3054518228364,OUT013
FDV47,1433.0107985022398,OUT045
FDN21,2555.7017287478816,OUT045
FDP20,3024.3511933790137,OUT027
FDI35,3045.3364324126806,OUT045
DRY23,717.1550934269885,OUT013
FDA56,2013.442707182171,OUT017
FDB09,2013.442707182171,OUT013
NCO26,2970.9793861890093,OUT027
FDQ49,2510.955474532361,OUT018
FDI52,3019.490533242882,OUT027
FDZ44,2970.9793861890093,OUT027
FDZ09,2565.9664478793343,OUT018
FDY03,1925.3139853518744,OUT049
NCG42,2024.961051719752,OUT017
DRI13,5864.176850714227,OUT027
FDQ32,2016.2063899935733,OUT013
FDW16,1487.4519310404748,OUT035
FDU27,739.0283955458439,OUT046
FDR28,387.0861987180677,OUT010
FDQ49,383.8554552642977,OUT010
FDS37,1947.7485062816797,OUT046
FDW26,3521.1325466053286,OUT018
FDX12,3701.6482073220236,OUT018
NCP06,2482.4448652118217,OUT013
FDW45,367.0715854009903,OUT010
NCN30,1536.1482558389255,OUT049
FDN24,879.557359642738,OUT049
NCL41,927.3679797590008,OUT027
FDR02,261.2822182341963,OUT019
FDD09,441.63863143490664,OUT010
FDS33,196.08803943963994,OUT010
FDU22,1997.917754762618,OUT045
FDI53,2563.8605667554757,OUT013
DRH01,2847.033192921573,OUT049
FDX32,2066.5450248890074,OUT013
NCP30,662.9226630629278,OUT018
FDB60,3057.382951292783,OUT045
FDB14,1528.384815264529,OUT049
NCP02,930.866153684674,OUT035
FDJ10,2033.6819907405902,OUT017
FDG34,1685.0013099275604,OUT046
NCB18,1453.9634743715164,OUT017
FDM16,1107.0822073138245,OUT049
FDW25,1402.6132274886445,OUT018
FDB35,217.7758001938575,OUT010
DRN11,2094.0036590247614,OUT013
FDF41,571.4331664178206,OUT019
FDH16,1453.9634743715164,OUT045
NCQ50,3489.501125276484,OUT018
DRH23,947.4050683467585,OUT018
DRJ37,2482.4448652118217,OUT013
DRJ24,5177.780991883925,OUT027
FDY16,3053.5811865157098,OUT035
FDQ27,1578.1423978877033,OUT045
FDZ33,2480.8332094205225,OUT045
FDF29,2027.959782068436,OUT045
FDA08,2563.8605667554757,OUT049
FDG31,1125.3877345927338,OUT046
FDE34,462.92953966184126,OUT019
NCR30,1462.6550364743496,OUT027
FDV33,4067.502197190356,OUT035
DRZ24,2005.32294730915,OUT018
NCL54,2848.793652425126,OUT035
FDR12,2848.793652425126,OUT049
NCC54,3871.6080624334536,OUT046
DRN59,784.3641983688368,OUT013
FDX50,261.7948889730353,OUT019
FDV31,4813.335968558128,OUT027
NCA29,4423.456245885029,OUT027
FDW60,2868.1939634549653,OUT049
FDX08,3057.382951292783,OUT017
DRD49,3831.815386875766,OUT013
FDD33,3809.162086476861,OUT046
FDW35,716.3549933976633,OUT013
FDJ36,1578.1423978877033,OUT017
FDV51,2617.506965072598,OUT035
FDW36,1585.5804456821693,OUT046
FDH35,2565.9664478793343,OUT046
NCS30,3034.310437195024,OUT027
FDN49,661.6923155234741,OUT017
FDL08,3702.81222409512,OUT018
FDI09,3877.2559790990476,OUT013
FDP19,2024.961051719752,OUT018
FDU21,131.7525156513408,OUT010
NCP41,1587.9574470752402,OUT045
FDY10,1810.9249284572381,OUT013
FDP12,660.2780830192412,OUT018
NCN26,1942.2889202938895,OUT049
FDK44,2847.033192921573,OUT013
FDC28,1595.426006164385,OUT049
FDJ41,5864.176850714227,OUT027
NCT29,2013.442707182171,OUT035
NCH42,572.3557694939454,OUT019
FDU60,2646.5743588864625,OUT018
FDS02,3057.382951292783,OUT045
FDC51,2013.442707182171,OUT046
FDU03,3053.5811865157098,OUT013
FDX39,3689.781598969414,OUT045
NCY05,131.7525156513408,OUT010
NCL06,5864.176850714227,OUT027
FDD32,1319.8470880001382,OUT035
NCN41,2013.442707182171,OUT045
NCX53,2053.007636644722,OUT049
FDU57,367.45608938260267,OUT019
FDQ23,1578.1423978877033,OUT046
FDQ52,3996.0258292087337,OUT045
FDC14,669.6687058155918,OUT045
FDY09,2871.2283440260403,OUT035
FDQ28,2506.684793263474,OUT045
FDV25,3765.024984422246,OUT046
FDJ07,1947.7485062816797,OUT035
DRB25,1583.1295901968545,OUT049
FDK52,571.102998035882,OUT019
FDY52,1392.1454674833547,OUT027
FDB28,3063.8732457753317,OUT046
FDT36,666.574890697872,OUT035
FDV25,3780.0737064779382,OUT017
NCN07,3034.310437195024,OUT027
FDC57,3053.5811865157098,OUT017
FDQ03,3655.3714677897706,OUT018
FDU23,2650.7648266510737,OUT017
NCX41,3683.9675600909486,OUT035
NCD06,737.562120714347,OUT035
FDW08,1585.5804456821693,OUT045
NCU29,2473.986954258937,OUT017
NCE06,2561.0293254310477,OUT013
FDV52,273.16434525203744,OUT010
FDB02,2868.7720181848163,OUT017
NCR18,671.2773831199133,OUT045
FDK16,1536.1482558389255,OUT049
NCQ29,572.4880919462431,OUT010
FDZ01,247.62854610364815,OUT019
FDW27,2536.2326725121147,OUT035
FDD17,3647.419503961052,OUT018
FDW39,2868.7720181848163,OUT013
DRH59,1085.9745821941794,OUT045
FDS52,1571.0017164608732,OUT013
FDU40,5728.633318893037,OUT027
NCF54,2844.9918876480533,OUT013
FDH46,1578.1423978877033,OUT045
NCP14,1578.1423978877033,OUT049
FDH50,3057.382951292783,OUT049
DRF15,373.55775103708794,OUT010
FDV27,2524.348042228645,OUT027
NCJ06,2002.6340613584555,OUT049
FDN02,3286.9639261396997,OUT018
FDQ51,737.6576114724268,OUT049
FDQ07,3757.7494022872625,OUT017
FDS45,1578.1423978877033,OUT049
NCJ06,2010.4524505847776,OUT045
FDD36,1947.7485062816797,OUT035
FDY25,3057.382951292783,OUT045
FDU52,2505.0117201777525,OUT046
DRK47,3802.6058723708716,OUT017
NCL30,2022.29323374156,OUT017
FDN22,4020.6032286828768,OUT035
NCF30,3024.3511933790137,OUT027
FDK03,4036.8077214816467,OUT035
FDT45,930.866153684674,OUT017
NCC54,5864.176850714227,OUT027
FDP08,3051.151178254651,OUT018
FDU44,2563.8605667554757,OUT046
